Supergroup,Taxa_group,Phylum,Order,Family,Genus,Final_ID,Primer
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_sp,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_sp,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_gibbosus,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_gibbosus,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Lepomis,Lepomis_macrochirus,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Ambloplites,Ambloplites_rupestris,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,COIFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Micropterus,Micropterus_salmoides,MiFish
Vertebrate,Fish,Chordata,Perciformes,Centrarchidae,Pomoxis,Pomoxis_nigromaculatus,COIFish
Vertebrate,Fish,Chordata,Perciformes,Percidae,Perca,Perca_flavescens,COIFish
Vertebrate,Fish,Chordata,Perciformes,Percidae,Perca,Perca_flavescens,COIFishdegen
Vertebrate,Fish,Chordata,Perciformes,Percidae,Etheostoma,Etheostoma_olmstedi,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,COIFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_natalis,MiFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,COIFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,COIFishdegen
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Ameiurus,Ameiurus_nebulosus,MiFish
Vertebrate,Fish,Chordata,Siluriformes,Ictaluridae,Noturus,Noturus_gyrinus,COIFish
...,,,,,,,
